name,n_epochs,n_dense,depth,eval,accuracy,val_accuracy,loss,val_loss
n128d2,5,128,2,"[0.38795095682144165, 0.8802462816238403]","[0.6893125176429749, 0.914187490940094, 0.9623749852180481, 0.968500018119812, 0.9754375219345093]","[0.6984094381332397, 0.826372504234314, 0.7962031960487366, 0.8735761642456055, 0.8802462816238403]","[0.7913617491722107, 0.24549737572669983, 0.11635787039995193, 0.09722240269184113, 0.0777118131518364]","[0.8416706323623657, 0.47438400983810425, 0.8052659630775452, 0.3676936626434326, 0.38795095682144165]"
name,n_epochs,n_dense,depth,eval,accuracy,val_accuracy,loss,val_loss
n128d2,5,128,2,"[0.8761064410209656, 0.7157647013664246]","[0.6271919012069702, 0.837861180305481, 0.8907755017280579, 0.9223265051841736, 0.9343665242195129]","[0.6066823601722717, 0.695341169834137, 0.7247058749198914, 0.7260235548019409, 0.7157647013664246]","[1.0005872249603271, 0.47659018635749817, 0.3212052881717682, 0.23924538493156433, 0.19339914619922638]","[0.9940786957740784, 0.818855345249176, 0.7674835324287415, 0.8535305261611938, 0.8761064410209656]"
